FIC002.CO,-62,2016-06-03 10:44:00
FIC002.D,0,2016-06-03 10:35:00
FIC002.F,0.033333333,2016-06-03 10:35:00
FIC002.I,0.133333333,2016-06-03 10:35:00
FIC002.Mode,0.666666667,2016-06-03 10:35:00
FIC002.P,6.666666667,2016-06-03 10:35:00
FIC002.PV,-58.66666667,2016-06-03 10:44:00
FIC002.CO,-61.33333333,2016-06-03 10:44:00
FIC002.D,0,2016-06-03 10:35:00
FIC002.F,0.033333333,2016-06-03 10:35:00
FIC002.I,0.133333333,2016-06-03 10:35:00
FIC002.Mode,0.666666667,2016-06-03 10:35:00
FIC002.P,6.666666667,2016-06-03 10:35:00
FIC002.PV,-58,2016-06-03 10:44:00
FIC002.CO,-60.66666667,2016-06-03 10:44:00
FIC002.D,0,2016-06-03 10:35:00
FIC002.F,0.033333333,2016-06-03 10:35:00
FIC002.I,0.133333333,2016-06-03 10:35:00
FIC002.Mode,0.666666667,2016-06-03 10:35:00
FIC002.P,6.666666667,2016-06-03 10:35:00
FIC002.PV,-57.33333333,2016-06-03 10:44:00
FIC002.SP,-55.33333333,2016-06-03 10:44:00
FIC002.CO,-60,2016-06-03 10:44:00
FIC002.D,0,2016-06-03 10:35:00
FIC002.F,0.033333333,2016-06-03 10:35:00
FIC002.I,0.133333333,2016-06-03 10:35:00
FIC002.Mode,0.666666667,2016-06-03 10:35:00
FIC002.P,6.666666667,2016-06-03 10:35:00
FIC002.PV,-56.66666667,2016-06-03 10:44:00
FIC002.SP,-54.66666667,2016-06-03 10:44:00
FIC002.CO,-59.33333333,2016-06-03 10:44:00
FIC002.D,0,2016-06-03 10:35:00
FIC002.F,0.033333333,2016-06-03 10:35:00
FIC002.I,0.133333333,2016-06-03 10:35:00
FIC002.Mode,0.666666667,2016-06-03 10:35:00
FIC002.P,6.666666667,2016-06-03 10:35:00
FIC002.PV,-56,2016-06-03 10:44:00
FIC002.SP,-54,2016-06-03 10:44:00
FIC002.CO,-58.66666667,2016-06-03 10:44:00
FIC002.D,0,2016-06-03 10:35:00
FIC002.F,0.033333333,2016-06-03 10:35:00
FIC002.I,0.133333333,2016-06-03 10:35:00
FIC002.Mode,0.666666667,2016-06-03 10:35:00
FIC002.P,6.666666667,2016-06-03 10:35:00
FIC002.PV,-55.33333333,2016-06-03 10:44:00
FIC002.SP,-53.33333333,2016-06-03 10:44:00
FIC002.CO,-58,2016-06-03 10:44:00
FIC002.D,0,2016-06-03 10:35:00
FIC002.F,0.033333333,2016-06-03 10:35:00
FIC002.I,0.133333333,2016-06-03 10:35:00
FIC002.Mode,0.666666667,2016-06-03 10:35:00
FIC002.P,6.666666667,2016-06-03 10:35:00
FIC002.PV,-54.66666667,2016-06-03 10:44:00
FIC002.SP,-52.66666667,2016-06-03 10:44:00
FIC002.CO,-57.33333333,2016-06-03 10:44:00
FIC002.D,0,2016-06-03 10:35:00
FIC002.F,0.033333333,2016-06-03 10:35:00
FIC002.I,0.133333333,2016-06-03 10:35:00
FIC002.Mode,0.666666667,2016-06-03 10:35:00
FIC002.P,6.666666667,2016-06-03 10:35:00
FIC002.PV,-54,2016-06-03 10:44:00
FIC002.SP,-52,2016-06-03 10:44:00
FIC002.CO,-56.66666667,2016-06-03 10:44:00
FIC002.D,0,2016-06-03 10:35:00
FIC002.F,0.033333333,2016-06-03 10:35:00
FIC002.I,0.133333333,2016-06-03 10:35:00
FIC002.Mode,0.666666667,2016-06-03 10:35:00
FIC002.P,6.666666667,2016-06-03 10:35:00
FIC002.PV,-53.33333333,2016-06-03 10:44:00
FIC002.SP,-51.33333333,2016-06-03 10:44:00
FIC002.CO,-56,2016-06-03 10:44:00
FIC002.D,0,2016-06-03 10:35:00
FIC002.F,0.033333333,2016-06-03 10:35:00
FIC002.I,0.133333333,2016-06-03 10:35:00
FIC002.Mode,0.666666667,2016-06-03 10:35:00
FIC002.P,6.666666667,2016-06-03 10:35:00
FIC002.PV,-52.66666667,2016-06-03 10:44:00
FIC002.SP,-50.66666667,2016-06-03 10:44:00
FIC002.CO,-55.33333333,2016-06-03 10:44:00
FIC002.D,0,2016-06-03 10:35:00
FIC002.F,0.033333333,2016-06-03 10:35:00
FIC002.I,0.133333333,2016-06-03 10:35:00
FIC002.Mode,0.666666667,2016-06-03 10:35:00
FIC002.P,6.666666667,2016-06-03 10:35:00
FIC002.PV,-52,2016-06-03 10:44:00
FIC002.SP,-50,2016-06-03 10:44:00
FIC002.CO,-54.66666667,2016-06-03 10:44:00
FIC002.D,0,2016-06-03 10:35:00
FIC002.F,0.033333333,2016-06-03 10:35:00
FIC002.I,0.133333333,2016-06-03 10:35:00
FIC002.Mode,0.666666667,2016-06-03 10:35:00
FIC002.P,6.666666667,2016-06-03 10:35:00
FIC002.PV,-51.33333333,2016-06-03 10:44:00
FIC002.SP,-49.33333333,2016-06-03 10:44:00
FIC002.CO,-54,2016-06-03 10:44:00
FIC002.D,0,2016-06-03 10:35:00
FIC002.F,0.033333333,2016-06-03 10:35:00
FIC002.I,0.133333333,2016-06-03 10:35:00
FIC002.Mode,0.666666667,2016-06-03 10:35:00
FIC002.P,6.666666667,2016-06-03 10:35:00
FIC002.PV,-50.66666667,2016-06-03 10:44:00
FIC002.SP,-48.66666667,2016-06-03 10:44:00
FIC002.CO,-53.33333333,2016-06-03 10:44:00
FIC002.D,0,2016-06-03 10:35:00
